ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt24017902,Carousel, Simon Sandquist , Sweden ," Swedish, Spanish ", Slasher Horror Horror ,4.7
tt20189996,Headmaster, Rajeev Nath , India , Malayalam , Drama ,8.2
tt21830836,House of Spoils," Bridget Savage Cole, Danielle Krudy ", United States , English , Horror Thriller ,5.0
tt29352965,Checkin' It Twice, Kevin Fair ," Canada, United States ", English , Holiday Romance Comedy Holiday Romance ,6.9
tt14371860,Apartment 7A, Natalie Erika James ," United States, Australia, United Kingdom ", English , Psychological Horror Psychological Thriller Horror Thriller ,5.8
tt27007466,Lubber Pandhu, Tamizharasan Pachamuthu , India , Tamil , Comedy Drama Sport ,8.4
tt13334578,Ganapath, Vikas Bahl , India , Hindi , Dystopian Sci-Fi Martial Arts One-Person Army Action Action Drama Sci-Fi Thriller ,2.8
tt10098448,Jesus Revolution," Jon Erwin, Brent Mccorkle ", United States , English , Docudrama Biography Drama History ,7.1
tt11430948,Bloodthirst, Michael Su , United States , English , Action Horror Sci-Fi ,3.7
tt14056466,Yudhra, Ravi Udyawar , India , Hindi , Action Drama Thriller ,5.8
tt21379370,Rechipodam Brother, AK Jampanna , India , Telugu , Action Thriller ,6.5
tt33298423,Nandhan, Era Saravanan , India , Tamil , Drama ,8.3
tt14814040,Not Okay, Quinn Shephard , United States , English , Dark Comedy Psychological Drama Comedy Drama Thriller ,6.1
tt33088719,Hide N Seek, Basireddy Rana , India , Telugu , Horror ,9.1
tt11947158,Ek Villain Returns, Mohit Suri , India , Hindi , Action Crime Romance Thriller ,4.4
tt33245905,Kahan Shuru Kahan Khatam, Saurabh Dasgupta , India ,unknown, Comedy Romance ,7.0
tt27116016,Die Hart, Eric Appel , United States , English , Parody Action Comedy ,5.2
tt33396241,100 Crores, Virat Chakravarthy , India , Telugu , Action ,6.6
tt15028848,Rama Rao on Duty, Sarath Mandava , India , Telugu , Action Crime Drama Thriller ,5.1
tt22743064,Yaariyan 2," Radhika Rao, Vinay Sapru ", India , Hindi , Comedy Drama Musical Romance ,5.1
tt8270664,Ambush, Mark Burman , United States ,unknown, Action Thriller War ,4.0
tt28635681,Gorre Puranam, Bobby , India , Telugu , Drama ,5.3
tt15198592,I'm Going to Have a Good Time, David Serrano ," Spain, Mexico "," Spanish, English ", Musical ,6.6
tt23144080,Maujaan Hi Maujaan, Smeep Kang , India , Punjabi , Comedy ,6.4
tt21833834,Limbo, Ivan Sen , Australia , English , Crime Drama Mystery Thriller ,6.1
tt6373362,Nasha Jurm Aur Gangsters," Rajkumar Patra, Rocky Rupkumar Patra ", India , Hindi , Action Crime Drama Thriller ,7.5
tt2488666,Malibu Horror Story, Scott Slone , United States , English , Found Footage Horror Teen Horror Horror Thriller ,4.8
tt33081325,Manyam Dheerudu, Dekkala Naresh , India , Telugu , Biography ,7.5
tt28282020,SeÃ±ora Influencer, Carlos Santos , Mexico , Spanish , Comedy Thriller ,6.9
tt27911000,Terrifier 3, Damien Leone , United States , English , Dark Comedy Slasher Horror Splatter Horror Supernatural Horror Teen Horror Holiday Horror ,6.5
tt29274601,Vjeran Tomic: The Spider-Man of Paris, Jamie Roberts ,unknown, French , Crime Documentary ,6.6
tt27714840,Classified, Roel Reiné ," United States, Bulgaria ", English , Action Thriller ,3.8
